client_id,col2174,col2220,col2221,col2222,col2292,col2293,col2294,col2316,col2317,col2318,col2340,col2341,col2342,col2388,col2389,col2390,col2470,col2663,target
10.0,3.0,12389002.23,30000.0,4149667.41,4.0,4.0,4.0,397379.0,397379.0,397379.0,10570281.4,10570281.4,10570281.4,26.6,26.6,26.6,31.0,0.3189938134633118,0.0
18.0,10.0,32645839.48,5000.0,6582672.665,22.0,21.0,21.9,359263.0,210660.0,314548.2,37004089.0,947970.0,26173461.6,103.0,4.5,73.45,68.0,0.2662850701762395,0.0
23.0,3.0,8579465.83,10000.0,2869821.94333333,2.0,2.0,2.0,179078.0,179078.0,179078.0,7290265.38,7290265.38,7290265.38,40.71,40.71,40.71,130.0,0.2584471777589903,0.0
27.0,7.0,18316750.5,5000.0,3140760.415,4.0,-1.0,1.8571428571428568,298869.0,82871.0,206298.42857143,20361944.97,535346.66,11864831.40857143,68.13,6.46,41.7,340.0,0.2569190620677391,0.0
33.0,3.0,8527501.44,10000.0,2852500.48,5.0,5.0,5.0,212637.0,212637.0,212637.0,6957482.64,6957482.64,6957482.64,32.72,32.72,32.72,13.0,0.2570165748042274,0.0
55.0,3.0,20869302.15,30000.0,6976434.05,14.0,14.0,14.0,326405.0,326405.0,326405.0,25394309.0,25394309.0,25394309.0,77.8,77.8,77.8,62.0,0.3200798164512687,0.0
81.0,3.0,4052843.1,10000.0,1360614.36666667,10.0,10.0,10.0,174242.0,174242.0,174242.0,3960520.66,3960520.66,3960520.66,22.73,22.73,22.73,160.0,0.2562613816564786,0.0
180.0,3.0,4140877.97,10000.0,1395292.65666667,12.0,12.0,12.0,188920.0,188920.0,188920.0,4048555.6,4048555.6,4048555.6,21.43,21.43,21.43,323.0,0.2562613816564786,0.0
188.0,3.0,20200214.23,27000.0,6752404.74333333,14.0,14.0,14.0,330216.0,330216.0,330216.0,20209219.2,20209219.2,20209219.2,61.2,61.2,61.2,431.0,0.2562613816564786,0.0
192.0,6.0,26604574.57,5000.0,4547147.76166667,16.0,16.0,16.0,350078.0,213650.0,281864.0,26150826.6,683680.0,13417253.3,74.7,3.2,38.95,27.0,0.2688349299593613,0.0
198.0,5.0,13024904.95,0.0,2607980.99,8.0,8.0,8.0,291222.0,291222.0,291222.0,12551668.2,12551668.2,12551668.2,43.1,43.1,43.1,158.0,0.2570165748042274,0.0
210.0,7.0,9180446.96,10000.0,2548502.53285714,26.0,21.0,21.714285714285715,228193.0,175201.0,182771.28571429,8274743.23,8274278.18,8274676.79428571,47.23,36.26,45.66285714285714,237.0,0.2573079262816446,1.0
267.0,3.0,4128982.33,27000.0,1401994.11,13.0,13.0,13.0,170095.0,170095.0,170095.0,4393553.85,4393553.85,4393553.85,25.83,25.83,25.83,700.0,0.2562613816564786,0.0
272.0,3.0,3959937.27,10000.0,1329645.75666667,23.0,23.0,23.0,199889.0,199889.0,199889.0,4307607.95,4307607.95,4307607.95,21.55,21.55,21.55,379.0,0.2572174233749946,0.0
281.0,3.0,8865081.91,10000.0,2965027.30333333,10.0,10.0,10.0,166838.0,166838.0,166838.0,8738974.44,8738974.44,8738974.44,52.38,52.38,52.38,213.0,0.275754919188603,0.0
295.0,6.0,13844746.54,10000.0,4293094.09333333,5.0,4.0,4.5,375342.0,281594.0,328468.0,13699983.0,11080723.9,12390353.45,39.35,36.5,37.925,124.0,0.2570165748042274,0.0
346.0,3.0,13775933.57,10000.0,4601977.85666667,5.0,5.0,5.0,172616.0,172616.0,172616.0,10482969.68,10482969.68,10482969.68,60.73,60.73,60.73,79.0,0.2570165748042274,0.0
356.0,3.0,12098961.67,10000.0,4046320.55666667,19.0,19.0,19.0,183864.0,183864.0,183864.0,12956896.08,12956896.08,12956896.08,70.47,70.47,70.47,25.0,0.2570165748042274,0.0
366.0,7.0,4260185.94,0.0,1190693.47428571,11.0,11.0,11.0,171389.0,168037.0,169952.42857143,4673778.03,4370642.37,4543862.74714286,27.27,26.01,26.73,275.0,0.2562613816564786,0.0
405.0,13.0,7550243.04,10000.0,2130344.22076923,8.0,2.0,3.8461538461538463,311321.0,142699.0,232911.53846154,7220732.04,5779309.5,6473876.87538462,40.5,21.28,29.98384615384615,353.0,0.2567183659523679,0.0
